,Latitude,Longitude,Stop Name,Stop Status
0,40.687359,-73.977045,FULTON ST/FT GREENE PL,at stop
1,40.700163,-73.911577,GATES AV/WYCKOFF AV,at stop
2,40.686224,-73.950511,GATES AV/NOSTRAND AV,approaching
3,40.688669,-73.929263,GATES AV/MALCOLM X BL,approaching
4,40.687234,-73.961283,GREENE AV/CLASSON AV,< 1 stop away
5,40.691998,-73.988711,JORALEMON ST/COURT ST,< 1 stop away
6,40.699312,-73.911252,N/A,N/A
7,40.686781,-73.965195,GREENE AV/WASHINGTON AV,at stop
8,40.685565,-73.956236,GATES AV/FRANKLIN AV,at stop
9,40.690814,-73.985738,FULTON ST/HOYT ST,at stop
10,40.691938,-73.988557,JORALEMON ST/COURT ST,< 1 stop away
